,date,name,generic_name,comments,overall_ratings,years_use,uses,manufacturers,rating
698,2020-03-22,ProAir RespiClick,albuterol,I don't know whose idea this was. It dispenses the medicine in a powder instead of finer air size particles This obviously doesn't work very well because air can be breathed into your lungs whereas a powder gets stuck somewhere along the way from your mouth to your lungs. I can literally feel the powder getting stuck in my throat instead of going where it's supposed to. My expired pro air puff inhaler works better than this and I know because I've had to dig around to find it when I'm having an asthma attack since the respiclick does nothing.,1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
702,2020-03-19,ProAir RespiClick,albuterol,My ProAir RespiClick doesn’t seem to work when I need it to. It doesn’t work for pretreatment when I exercise at all. It sometimes works as a rescue inhaler. Also when I pretreat for exercise it gives me a dry awful feeling in my chest and extreme chest pain when I finish.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",2.0
774,2020-02-23,ProAir RespiClick,albuterol,I do not like anything about this new RespiClick and want to get the original inhaler back.  It’s not easy to use and it does not last long at all.,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
784,2020-02-19,ProAir RespiClick,albuterol,This is a new drug for me. I was surprised I had to inhale the medication. Thank goodness I don’t have asthma. I would be frightened to death trying to inhale this medication during an attack. I’m being treated for complications after pneumonia. I did feel/ taste the powder on the back of my tongue so I think it worked. Can’t say l feel differently having taken it about 30 min ago. Keep in mind the vast majority of medications are made over seas. Do you think the FDA has teams living there to surprise inspect?,1.0,Taken for less than 1 month,For Bronchiectasis:,"Teva Pharmaceuticals USA, Inc.",3.0
787,2020-02-18,ProAir RespiClick,albuterol,"I have watched videos on correct usage, it is NOT user error. This does not work for me at all. With the old inhaler, I could feel, even taste the medicine. I could feel my lungs relax. This one... I feel nothing. my lungs feel just as tight as before. This is a piece of garbage and the Teva company should be ashamed of this product, 300 patents wasted. 3M tried this type of inhalator 20 years ago and that was proven to not deliver medicine either. Please learn from the mistakes of the past companies.",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
797,2020-02-15,ProAir RespiClick,albuterol,"This isn’t horrible or awful, it’s “horriawful”. I’m an athlete that was left ”sidelined” due to the design of this product. Thank goodness I still had my old inhaler around or this could have been a different post. Why aren’t zero ratings allowed as this rating  a 1 is way to high! Note: google how to hack the respiclick into an ordinary inhaler ",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
801,2020-02-15,ProAir RespiClick,albuterol,This is a dangerous product! I had always used Albuterol spray for intermittent asthma. On a Sunday I had an asthma attack and was unable to find my inhaler and went to Urgent Care. They gave me a breathing treatment and a prescription for this ProAir Respiclick. That night I had another attack and was considering going to ER but first scrambled around house and thankfully found old inhaler with a few puffs left! The next day I went to my primary doctor who said she had heard so many terrible things about this product she wouldn't prescribe it! She gave me an RX for the regular spray Albuterol. I think everyone needs to report this to the FDA! When one is wheezing and unable to breathe this worthless powder won't go past your tongue and you don't even know it is working at all!,1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
811,2020-02-10,ProAir RespiClick,albuterol,Just. Awful. Period. Return as soon as you can.,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
893,2020-01-24,ProAir RespiClick,albuterol,"Who designed this thing?  You have absolutely no idea if you’re getting medicine or not.  For a device you rely on to save your life, you just need to believe that maybe it worked, maybe it didn’t?   And when you’re already short of breath, sucking hard to get the medicine out is not really an option.   On the flip side, it makes you want to keep giving yourself dose after dose after dose because there’s no indication whatsoever that you’re ever getting any medicine.   Horrible horrible product!!",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
972,2019-12-30,ProAir RespiClick,albuterol,"I agree with all the other comments.

My expired ProAir (with spacer) works 100X better as a rescue medicine than the do-nothing ProAir Respliclick. I found absolutely no relief from the $60 Respliclick. (My insured cost).   Respliclick is a scam. Stick to the old inhalers if you want to breath.",1.0,,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
1000,2019-12-20,ProAir RespiClick,albuterol,Horrible!!! No relief after using!!! Had to call the company to complain and they said it might have been a bad batch.... If this is for rescue just pay more for the other kind.... It the worst inhaler I've ever had.,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1010,2019-12-15,ProAir RespiClick,albuterol,"For some reason I  don't seem to get the same emergency treatment from respiclick that I  do with the Proair inhaler, but it is all my medicare and insurance will cover.",1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",2.0
1312,2019-09-15,ProAir RespiClick,albuterol,I wish I could rate this  Respiclick inhaler device a 0/10. I can't believe anyone thought that it would be okay to prescribe this to a patient who needs it to survive.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1354,2019-09-02,ProAir RespiClick,albuterol,This was prescribed to be by the ER doctor for “as needed” and I hate it. It is the worst thing when you can’t breathe in. Why? Because if you can’t breathe how do you breathe in enough to get the medicine?! I’ve had to try 3 or four times to get one dose. The medicine itself seems to be good but why in the world would someone who has problems breathing to the point of going to the ER be given something that is so difficult to get to?!,1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",
1515,2019-07-11,ProAir RespiClick,albuterol,My Doctor prescribed  Proair Respiclick instead of my Proair inhaler.  It us horrible when I need my rescue inhaler this does absolutely nothing to help me breath. I also find that I have a problem trying to inhale the powder when I am already short of breath.  Terrible medication,1.0,Taken for 6 months to 1 year,"For COPD, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
1582,2019-06-14,ProAir RespiClick,albuterol,"This inhaler is not effective for someone who can't get air into their lungs. The way it works is by sucking the medicine out of the inhaler, and for those who barely have lung function there's no way to get the medication into your lungs so you CAN BREATHE. I almost passed out today trying to get this thing to work for me, but luckily I found an old ACTUAL inhaler that saved me.",1.0,Taken for less than 1 month,For Bronchospasm Prophylaxis:,"Teva Pharmaceuticals USA, Inc.",
1601,2019-06-10,ProAir RespiClick,albuterol,ProAir Respiclick had zero effectiveness for me. You would have to be a long distance runner to be able to inhale this powder into your lungs. What a waste. This was just another way for the company to get a patent for albuterol so they could make money. If I could give a minus rating I would. I got this drug due to a mixup with my insurance where they said they wouldn't cover the HFA. I think they got so many complaints and threats of lawsuits that they quickly changed their coverage options. I know I was definitely on the phone with them.,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
1624,2019-06-03,ProAir RespiClick,albuterol,"The ProAir RespiClick instructions ""Inhale rapidly to use""....I have a breathing problem...does this make any sense what so ever?  This is the most useless delivery system for this type of indication.",1.0,Taken for less than 1 month,For Bronchospasm Prophylaxis:,"Teva Pharmaceuticals USA, Inc.",1.0
1626,2019-06-02,ProAir RespiClick,albuterol,"Like the others say,  the ProAir ResiClick is not effective. Sucking as hard as you can to get medicine to your lungs did not help during an asthma attack. The old method inhalers are far superior. I wheeze terribly still after using. Do not recommend.",1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1721,2019-04-11,ProAir RespiClick,albuterol,"I have COPD and my Doctor prescribed this ProAir RespiClick device in place of  my regular Proair . The respiclick does nothing, I can’t seem to inhale strong enough to get any medication in my lungs.    I tried it when I was having problems breathing and it didn’t work, fortunately  I had some medication left in my old Proair  I was able to get relief with that inhaler otherwise I don’t know what I would have done .",1.0,Taken for 5 to 10 years,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1.0
1792,2019-03-07,ProAir RespiClick,albuterol,It doesn't work ☹️☹️☹️☹️,1.0,,For Bronchiectasis:,"Teva Pharmaceuticals USA, Inc.",1.0
1808,2019-03-01,ProAir RespiClick,albuterol,"The respiclick, like all other Proair inhalers is a joke.  Do any of it's inventers actually have asthma?!  

Picture yourself, gasping for air in the middle of an asthma attack, and some fool hands you an inhaler that you have to forcibly suck the medicine out of.  That's the respiclick in a nutshell.  Abject stupidity.",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1823,2019-02-18,ProAir RespiClick,albuterol,"Can't inhale hard enough to get the powder past my tongue, totally worthless.  The  aerosol inhaler works as it is supposed to but not this respiclick piece of junk.",1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1837,2019-02-12,ProAir RespiClick,albuterol,"I understand some medicines do not work as well on certain individuals, that's not the case with these new inhalers they they don't work for anyone who really needs one. These powder inhalers ineffectiveness is upsetting to say the least. Any trial studies should have clearly shown this. The Incompetence behind this product is staggering, if not criminal, I've recently had to resort to using some older out of date inhalers so I could breath, I've disregarded the powder inhaler,  I wasted my money on.",1.0,Taken for 1 to 2 years,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1.0
1845,2019-02-08,ProAir RespiClick,albuterol,Its awful. You can't even tell if it's working. I don't think I can even breathe deeply enough to get the powder to come out. Even if it is coming out it's doing absolutely nothing for me. I paid $60 dollars for a useless piece of plastic.,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
1917,2019-01-10,ProAir RespiClick,albuterol,"I cannot suck hard enough to get the powder out when I'm in need of ""rescue"". I probably go through about 5 ""doses"" before I feel like I got a dose and after all that the medicine doesn't help anyway. I got better results with the mist.",1.0,Taken for 1 to 6 months,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
1938,2018-12-28,ProAir RespiClick,albuterol,"It is VERY difficult to tell whether you have gotten ANY of the medicine into your lungs. This design is awful, and it is difficult to use. Breathing the air in the room will give you the same result....NOTHING. I do not recommend this product.",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",2.0
1976,2018-12-05,ProAir RespiClick,albuterol,"This NOT a rescue inhaler, in spite of it's marketing. As many have stated on here in the past, when you are having an asthma attack, you can't breath in deeply or quickly enough to get an adequate dose and in between each dose you have to close the cap, shake and reopen it.   I guess this company will need to be sued when someone dies from an asthma attack to make the FDA pull it off the market. Totally useless.",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
1979,2018-12-02,ProAir RespiClick,albuterol,"I've been a nurse with a private asthma and allergy practice for nearly 4 years, now.  I have also used the ProAir RespiClick device for my reactive airway symptoms to determine why my patients are complaining that they aren't experiencing any symptom relief with it.  I have no idea how the ProAir RespiClick even made it through trials to be approved for patient use.  This device is only activated if the patient is able to inhale forcefully and deeply enough to cause the powder to be released and inhaled. In the event of an asthmatic episode, the patient is already struggling to breathe deeply/forcefully, hence their urgent need for relief.  If someone can't breathe, it makes no sense that their lifesaving medication won't work unless their lung function isn't compromised. That would be like asking someone who is choking on food to swallow a pill to dislodge the food and save their life.  No common sense here, manufacturers.",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2006,2018-11-10,ProAir RespiClick,albuterol,"This pump is a joke I just sprung $52 out of pocket on this and was so disappointed!
DON'T BUY THIS",1.0,,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2046,2018-10-13,ProAir RespiClick,albuterol,More powder on tongue than in my lungs.  Counter broke at some point so was never sure if there was still medicine or not. Definitely not possible to get deep enough inhalation needed to get meds into lungs when having asthma attacks.  (Used advair until I couldn't afford it and it came out of the disk easier.) Only chose this because of coupon offer since atomizer was too costly. Did like that the “freezer burn” feeling from the atomizer didn’t occur since I use the rescue inhaler at least 6x daily. I,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",5.0
2065,2018-10-06,ProAir RespiClick,albuterol,I’m so afraid of having an asthma attack with this inhaler because I don’t feel any benefit and that’s probably because nothing is coming out. This is crazy!,1.0,Taken for 1 to 6 months,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2164,2018-08-13,ProAir RespiClick,albuterol,It really doesn't work. I do not feel the powder release. I'm confused as to whether or not to take another inhalation. If I don't the problem will still be there and if I do I might overdosed. I have an appointment with my Primary Doctor in 2 days and will ask her to prescribe the albuterol I was taking before.,1.0,Taken for 1 to 6 months,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2189,2018-08-02,ProAir RespiClick,albuterol,I felt nothing after taking it. Always had to revert to nebulizer. Decided to open it up and found the powder in cluncky form. I had to smash it up back to powder. Afraid of using it when it's a life/death situation.,1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2195,2018-07-28,ProAir RespiClick,albuterol,I am using the Proair Respiclik correctly but don't feel any of the powdered medicine coming out,1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",3.0
2198,2018-07-26,ProAir RespiClick,albuterol,Crummy product. DOES NOT WORK,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2216,2018-07-14,ProAir RespiClick,albuterol,"I am not able to suck hard enough to release the medicine. How is someone having asthma supposed to do a quick powerful inhalation?! After watching Respiclick tutorials and following instructions several times, it did not work. With the aerosol Albuterol, I feel instant relief in the tightness in my chest. The respiclick it gives me zero relief. I have called the manufacturer and will be reporting my experience to the FDA.",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2233,2018-06-28,ProAir RespiClick,albuterol,"I find that it doesn't work either; I was having bronchospasms a few times this season, and the ProAir RespiClick does nothing.  First I thought that it was because I had shortness of breath, but with the HFA inhaler, I was still able to get a fairly decent dose, even in the middle of an attack.  Trying to see if I can switch back to old school inhaler",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",2.0
2281,2018-05-19,ProAir RespiClick,albuterol,"I have allergy induced asthma, depending on how harsh the allergy season is I might have no symptoms or I might get really bad asthma. So in late April through May I will typically have my asthma symptoms and attacks. This year I was given this ProClick powder inhaler and it really does do nothing. The first few doses it did leave some residue on my tongue but now after using it for 3 days it's not making a difference and it doesn't even feel like it's dispensing any medicine! $45 copay and I'm sure my insurance picked up a pretty big chunk of the cost. Total waste! The company who makes this inhaler should be investigated for fraud, imo this is a defective product.",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2285,2018-05-16,ProAir RespiClick,albuterol,Like most I also find ProAir RespiClick has no use.  It doesn't help me.  I want my aerosol instead. I would like the money back on 3 of these . I was told it would be my old aerosol  and when I go pick it up it's this ProAir Respiclick .,1.0,Taken for 1 to 6 months,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1.0
2289,2018-05-12,ProAir RespiClick,albuterol,"I absolutely hate this ""new inhaler "" it does not work !",1.0,Taken for less than 1 month,"For COPD, Maintenance:","Teva Pharmaceuticals USA, Inc.",2.0
2294,2018-05-09,ProAir RespiClick,albuterol,"I had asthma as a kid. I kind of grew out of it. Recently, I have been getting very short of breath. Turns out I have a respiratory infection that brought my asthma symptoms back. I was given a prescription for a respiclick inhaler. I remember when I was a kid the feeling of the inhaler kicking in and being able to breathe again. That doesn't happen with this inhaler. I don't remember what medication my old inhalers had in them but they were a lot more effective",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2303,2018-05-04,ProAir RespiClick,albuterol,"Used to use albuteral for my reactive asthma, for when I occasionally smoke which I know I shouldn’t. Guess I’m
going to have to stop because this stuff literally does nothing for me whatsoever even after like two times the dosage. This product is going to kill someone because of its lack of symptom relief. I’m happy/ disappointed to see so many other having the same issue",1.0,,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2306,2018-05-02,ProAir RespiClick,albuterol,"Nothing comes out even if you use it according to instructions. Dangerous--I reported it to the FDA. If you have the same problem, please do it too.",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2309,2018-05-01,ProAir RespiClick,albuterol,"I am sick of feeling horrible with this inhaler.  I never get any relief.  My pharmacy tells me this is the ""preferred"" drug of choice with my insurance plan.  I pay $25.00 copay and am getting no relief for my asthma at all.  I wanted to go back to my aerosol inhaler, however the insurance denied that request.  We should not be made to purchase a drug that the insurance company feels is in our best interest.  Listen to your patients-This needs to be recalled before someone dies from an asthma attack",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2345,2018-04-06,ProAir RespiClick,albuterol,My insurance forced me to switch after having great results from Ventolin HFA for years.  I had an attack yesterday and this did absolutely nothing.  Luckily I had an older spare Ventolin inhaler in my car that helped me.  I will never use this garbage again.,1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2347,2018-04-06,ProAir RespiClick,albuterol,I don't feel like any medicine is coming out!! If the medicine is coming out than it doesn't help at all!,1.0,Taken for less than 1 month,"For COPD, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2351,2018-04-02,ProAir RespiClick,albuterol,,1.0,Taken for less than 1 month,,"Teva Pharmaceuticals USA, Inc.",1.0
2360,2018-03-28,ProAir RespiClick,albuterol,"The ProAir RespiClick is HORRIBLE! I had called my pharmacy to have this prescription refilled, and they mentioned my old prescription for HFA had expired, and that they would call my doctor to have it updated. At this point my doctor's office nor the pharmacy wants to admit they had changed me to this medication, and now I'm stuck with three of these that provide absolutely no relief to me whatsoever. I had to google videos on how to use this while I'm almost dying trying to figure this out. Once I guess I figured it out, it was terrible, they mention it's some powder, and I had to do 5 inhales, which is ridiculous, because if I can't breath, how can I inhale this? Who creates these things? I can't even get a refund now for these 3 unused units! The units are horrible to use, so much they made my anxiety worsen, which made me breath with even more difficulty.",1.0,,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2389,2018-03-08,ProAir RespiClick,albuterol,This product (as stated in all the other comments) is simply garbage. I had to google the product to figure out how it worked and it just doesn’t. All the “medicine” did was make my heart race. This product gave me no relief in any way.,1.0,Taken for less than 1 month,For Bronchiectasis:,"Teva Pharmaceuticals USA, Inc.",1.0
2432,2018-01-17,ProAir RespiClick,albuterol,"Was switched by new insurance company to RespiClick after using Ventolin FHA for years with good results.  Got absolutely NO relief.  Very frightening. Found Ventolin inhalers with a small amount of doses left and that got me through the night.  Complained to the insurance company because this unauthorized substitution with a TOTALLY ineffective delivery system put my life in danger.  ""Rescue"" inhaler.  If you don't get rescued, you can die.  RECALL this product NOW!",1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
2437,2018-01-09,ProAir RespiClick,albuterol,"This is complete trash. The only reason I used this is because they had a coupon. I feel nothing with this. Not even sure I am getting medication rather than sucking in normal air. If I could give this a negative rating I would

This is a complete joke of a product and I hope they get rid of this respiclick. Just make a stronger delivery inhaler pro air. I really wish the generic albuterol in the white can was still available.",1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",
2456,2017-12-20,ProAir RespiClick,albuterol,I had Lung infection/asthma/wheezing and this provides no relief at all. Nothing comes out. I even shook it and no powder came out. My wheezing is so loud I can't sleep.,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2488,2017-11-15,ProAir RespiClick,albuterol,"This Respiclick design is horrible! In fact a few inhalers have switched to a non aerosol type recently and people who cannot breath, or have acute asthma or COPD cannot breath IN fast or hard enough to make the powdered med enter the lungs! I switched back to aerosol type inhalers on most of my inhalers because of this. You need to have a certain amount of force in the lungs to take this, and during attacks you simply don't have that breath strength and a medical manufacturer ought to know that. It also leaks and clogs up constantly. It is the same issue I had with another powdered inhaler. This is I think why others also are getting no relief. This needs to be recalled and re done! It could cause deaths.",1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",
2501,2017-10-25,ProAir RespiClick,albuterol,Doesn't work! This is a totally ineffective inhaler. I gave it one star because I can't give it a lower rating.,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2503,2017-10-23,ProAir RespiClick,albuterol,No relief.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2533,2017-09-28,ProAir RespiClick,albuterol,"I thought we were doing it wrong! This thing feels like it does absolutely nothing.  We open the click cap and I tell my son to breathe in deep (which is a lot to ask when he is coughing) and he feels nothing and it does nothing.  I even tried it and can usually feel the albuterol in is nebulizer and other inhalers and feel absolutely nothing.  Really what a piece of garbage, a 40 dollar co-payment and my insurance is paying like 200+ for it in addition.  What a waste -- we should be reimbursed or given a replacement.  Thanks for letting me know we weren't crazy!",1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",
2546,2017-09-15,ProAir RespiClick,albuterol,This inhaler is terrible !!! It's too loud !!! Makes so much noise on inhalation and that clicking sound !!!!,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2580,2017-08-17,ProAir RespiClick,albuterol,"The worst inhaler I've ever used.  I feel like absolutely nothing comes out of the inhaler, and it doesn't help me at all.  I'll be asking my Dr. about another type, because this one is just terrible.",1.0,Taken for 6 months to 1 year,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1.0
2616,2017-07-19,ProAir RespiClick,albuterol,"I previously used the old ProAir, the traditional design, and it worked great could jog twice as far without getting short of breath, mow grass, etc. I was at the doctor and asked about a refill & she told me about this amazing new design that you don't have to squeeze. The idea sounded great, but in reality it doesn't work. After I use it shortness of breath is slightly decreased, but the chest tightness/pain remains and starts to take on a different character, & it also makes me extremely nauseous. Yes, it is convenient, but people who need a rescue inhaler would rather it work & provide relief than to have 1 less button to press.",1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2639,2017-07-05,ProAir RespiClick,albuterol,"Worse rescue inhaler ever!!!!!  I'm resorting to using my nebulizer in order to get relief.  Who's bright idea was it to switch from a pump inhaler to a inhaled powder???  Half the time I don't have enough breath to inhale and I don't get a good dose, and let's not forget the fact that I have to make sure that my lips do not block the airflow window.  Unfortunately I can't even switch to a different one because my insurance will not cover any other brand.  Someone help me I can't breath and my back hurts so bad as a result.",1.0,Taken for 1 to 2 years,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2693,2017-05-15,ProAir RespiClick,albuterol,"I have been on albuterol inhalers since the 80s.  I went online to watch how to properly use this respliclick inhaler and quickly learned that medicine is actuated each time you open the cap and also not to let my lips block the air vent as it is right at the back of the mouth piece.  Feeling equipped with good info I felt I was ready to go.  Then came the moment I needed it...  I opened the cap emptied my lungs the best I could (I was having an asthma attack so...could only do so much).  Then I breathed in all I could...my lungs went into a vacuum (negative pressure) and they stayed that way until I released my lips from the device.  Nothing left the inhaler and entered my lungs, not medicine, not air, nothing.  I tried three times and the pain was so bad I don't I think I dare try again.  After 3 hours with no relief I used my expired ProAir HFA and got instant relief.  I am calling the FDA compliant line now.",1.0,Taken for 10 years or more,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2726,2017-04-22,ProAir RespiClick,albuterol,"This inhaler has caused my family much grief. IT DOES NOT WORK. IT WILL NOT RESCUE. We used it for two days as we watched our child's condition steadily worsen to a full blown attack two days ago. A call the pediatric respiratory specialist prompted a prescription for the aerosol version of proair. After just one use of the aerosol replacement inhaler, our child's condition quickly improved. I am SO glad we were able to get back to the aerosol inhaler.",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
2730,2017-04-19,ProAir RespiClick,albuterol,"Got the inhaler for my son on Friday. Does not work , then pro air does not want to refund my money, but wants to replace their garbage product with another rubbish Pro Air Respiclick.. Big Pharm sucks",1.0,Taken for less than 1 month,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
