,date,name,generic_name,comments,overall_ratings,years_use,uses,manufacturers,rating
10,2021-03-12,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I love this birth control. I’ve been on the Depo-provera shot, and it caused me to keep a period for over a year. I tried another pill to regulate it but it didn’t. It gave me horrid mood swings. But with Nortrel, I don’t have mood swings, I have experienced no weight gain, my periods are regular again!! I have been on it for nearly a year and will continue. I feel like I even feel happier, more upbeat, and less depressed.",5.0,Taken for 6 months to 1 year,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
11,2021-03-12,Plan B One-Step,levonorgestrel,"After having sex we noticed the condom broke, we were freaking out and were unsure if I finished in her. We went and got a Plan B 40 mins after the whole situation. The whole thing has been extremely stressful. About 6 days after taking the pill she started bleeding it was bright red had some clots and was just like a period. At times she was bleeding pretty heavy and had to put a tampon in and at other times she was just spotting. She bled for a total of four days and I’ve been really stressed I’m just wondering if anyone has had a similar experience? Has anyone bled about a week after and was it like your period? She also has pretty long periods her last 7 have all been 40+ days. We had sex 12 days into her new cycle.",8.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",10 / 10
12,2021-03-12,Take Action,levonorgestrel,I wanted to write a review to calm any women scared!! I had unprotected sex and unfortunately he came in me. It was right around when I was beginning my fertile window. I was super nervous and some reviews made it much worse. I took the pill 3 hours after and experienced fatigue and some nausea. A week after taking the pill I got my period again! Annoying that I have it since I just had it but better than no period! It’s gonna be okay ladies!,6.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",9 / 10
13,2021-03-11,ProAir RespiClick,albuterol,I was switch from my pro air to the albuteral respiclick.  I will tell you now I think it is one of the worst  I have ever used.  I wake in the morning needing relief ASAP and respiclick sends me down a nightmarish road.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1 / 10
14,2021-03-11,clindamycin/tretinoin,,"I had severe acne, now my skin is much better",8.0,Taken for 2 to 5 years,For Acne:,"Teva Pharmaceuticals USA, Inc.",
15,2021-03-11,Qvar RediHaler,beclomethasone,"I gave up on the new Qvar Redihaler as it wasn't effective.  Went back to  the original aerosol Qvar version and all is back to normal for me with asthma under control.  The solution, order the old version from Canadian Pharmacy.  USA is the only country not carrying the original version (patent protection in USA is the reason they changed the design.).  I even reported the problem with the design to the FDA.  Please report the ineffective delivery method to FDA and pharma company, maybe we won't have to go to another country to get effective medicine.  My concern is that insurance companies are perfectly happy with people buying it direct from other countries so they don't have to cover it.  The pharma company is ok to as they still get the sale.  Feel bad for young children who certainly can't use the new delivery design.",2.0,Taken for 5 to 10 years,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
16,2021-03-10,Plan B One-Step,levonorgestrel,"I had unprotected sex 2 days after my period Feb 6 and took Plan B less than 2 hours after. The next day I felt abdominal pain & it lasted for 3 days. After 4 days I had a random bleeding for 5 days Feb/ 10-Feb/ 14. 8 days later Feb/ 22 I had unprotected sex & I didn’t take any pills. I was supposed to have my period on Feb/30 but I didn’t I saw on multiple websites that plan B could pushes your period but for 7 days max. I finally decided to take a pregnancy test. I took 2 and both were negative. Today (10 days late) I felt the worst cramps and my period started
I know how hard the experience is & most of us go through it alone because we fear to be judged. You can seek support from the Crisis Text Line (they are really good). You’re not alone. It’s terrifying but you’ll get through it
Even if you have to get an abortion your information would never be released unless you want them to. You shouldn’t feel ashamed. You’re strong and you’ll get through this.",8.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",10 / 10
17,2021-03-10,Ajovy,fremanezumab,After 31 years this is a miracle drug for me! Took two months to have effect then went from 15 migraines a month to zero!,6.0,Taken for 1 to 6 months,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
18,2021-03-09,ParaGard,,"I've had mine for 3 years , first 2 years was amazing, I loved it because it’s no hormones. But as I’m moving on to my 3rd year, I feeling a lot more discomfort, random cramping in my uterus and cervix, especially around ovulation and spotting around ovulation as well, not sure if that’s normal but it kind of scares me. I plan on removing it soon, it just doesn’t feel right to me anymore. I feel like there is a foreign object that shouldn't be there, . So bummed out about going back on a birth control with hormones",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",3 / 10
19,2021-03-09,ParaGard,,"I really enjoyed the ease of not having to worry about birth control. However, I would not recommend this to anyone whose periods are even moderately painful. My periods doubled in length and the pain was debilitating. The IUD was great aside from the extremely negative effects it had on my period. I chose Paragard because I had difficulties with hormonal birth control in the past, but the pain I had with this IUD did not outweigh the benefits, so I had it removed. Insertion was also very painful, it was much worse than my recent insertion of a hormonal IUD. I would advise weighing the benefits and side effects of each option with your doctor and decide what is right for you. Unfortunately, a copper IUD was not right for me and my body.",6.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",5 / 10
20,2021-03-09,Tri-Sprintec,ethinyl estradiol/norgestimate,"I’ll start by saying that I was on depo injection for 8 years without any issue. I quit taking it because I wanted my periods to be regular again. My periods have always been extremely rough but about a year ago I started having cramps almost constantly. This went on for months before my doctor prescribed me Tri-sprintec. It got rid of the pain & my periods were light & short which I loved, but everything else got out of control. The first month was fine, but after that things started going downhill. I am not an emotional person & I found myself crying for no reason & so depressed that I barely got out of bed. It was a huge strain on my partner & I. I also had weighed 125 pounds my entire life & have now gained 40 pounds in the past year that seemed impossible to get rid of, even while eating healthy & exercising. I quit taking this a few weeks ago & already feel a million times better. Hoping that I can lose all this weight & start feeling normal again.",5.0,Taken for 6 months to 1 year,For Endometriosis:,"Teva Pharmaceuticals USA, Inc.",1 / 10
21,2021-03-09,Sprintec,ethinyl estradiol/norgestimate,"Hello! I was on Sprintec for about 4-5 months, but eventually stopped using while switching to a new provider. It worked amazing as a birth control method, didn’t have any scares or concerns while on it, and too it continuously to avoid periods. however, after stopping I realized it had worsened my depression and made my emotions less predictable. I have since switched to Vienva and I’m hoping I don’t get any more mood swings. I didn’t have any other symptoms  while on it.",6.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",7 / 10
22,2021-03-08,Sprintec,ethinyl estradiol/norgestimate,"Hello! I was on Sprintec for five months and it was awful. Experienced horrible acne and mood changes. I was a completely different person on this. I was constantly crying over everything and having mental breakdowns almost everyday. It was so bad that nobody wanted to be around me. It really put me in a bad place, I had really bad depression while on it and constant dark and negative thoughts. Everyone’s body reacts differently though, I just wanted to post this so if you experiencing negative thoughts. Please reach out to your doctor so they can help you.",6.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
23,2021-03-08,Nuvigil,armodafinil,Took Nuvigil for possible Narcolepsy and it made the fatigue much worse.  Felt like I went from tired to flat exhausted and nearly impossible to focus.,7.0,Taken for less than 1 month,For Narcolepsy:,"Teva Pharmaceuticals USA, Inc.",1 / 10
24,2021-03-08,ethinyl estradiol/levonorgestrel,ethinyl estradiol/levonorgestrel,I have been excessively bleeding every day since the first day of taking this. DO NOT TAKE THIS! It’s been 3 months and I am still excessively bleeding and nothing is stopping it. I have made myself anemic and I am probably going to need a hysterectomy now and I’m only 27.,4.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
25,2021-03-07,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"Uncertain about writing this because who knows what’s the stem of my declining mental health, but I stopped taking Junel FE a few weeks ago and we will see what happens. Like other views are saying: days of crying, increased anxiety, feeling like I’m going to break at any second, etc, etc. I guess time will tell if this is due to the pill, but timing does line up from when I started taking it. Be careful if you have struggled with mental health in the past. However made periods really light and painless.",4.0,Taken for 6 months to 1 year,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",3 / 10
26,2021-03-07,Sprintec,ethinyl estradiol/norgestimate,"I started Sprintec when I was 16. I’m 19 now and I’ve never had acne, bloating, severe cramps, anxiety or depression, or spotting while on this pill. Prior to Sprintec I was on a birth control that literally made me want to end my life. I was shaking all day, crying for no reason, I became a complete psycho. Switching to Sprintec was like night and day. It also really helps keep my period regular! I feel very in control while on this medication. There is a day every time I get my period that my cramping is worse than others, but I feel like that’s just me. Overall this is a great bc pill and one I would recommend to others!",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
27,2021-03-06,fluticasone/salmeterol,,"Terrible! Insurance just changed formulary adding wixela inhub, dropping advair for what they'll cover. I noticed a difference within a week, needing to use my albuterol inhaler nearly daily now when before hardly ever. I have a lot of mucus now when I didn't before. Everyone should be complaining to the FDA and their state insurance commissioner. Insurance companies should NOT be able to cover only cheaper drugs when they don't work and the FDA should require this drug is taken off the market. Horrible.",6.0,Taken for 1 to 6 months,"Wixela Inhub (fluticasone / salmeterol) for Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
28,2021-03-06,Ajovy,fremanezumab,"I have had migraines for 13 years, usually 3-4 a week. I had chronic migraine. I went too many doctors. Tried every type of medication and had no luck.  Then I tried Ajovy. Since the first injection of Ajovy I had great relief. I am now on my 3rd month of taking it. It has been a life saver for me and my family. I still take abortive medicines for when I get a migraine, but it actually works quickly. Before abortive medication did not help very much. Also when I get a migraine it is more like a slight headache.  The day I get the injection I do feel a little tired, and the week before my next injection I get a little more headaches. The only side effect I have had is a little itching around the injection site on occasion. Also my digestion has changed and I do feel a little bloated or stuffed. But it is very minor in comparison to the great benefits. Like I said I still get headaches but they are minor. I encourage anyone to try it.",6.0,,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",9 / 10
29,2021-03-06,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I took Balziva for 8 months when I was 23 and never bounced back. This medication elevated my sex hormone binding globulin (SHBG) through the roof, and I started struggling with painful sex/burning from atrophy due to the dramatic reduction in free testosterone levels in my tissues. Women need to be aware that this is a common side effect of oral contraceptives, but you never hear about it from your doctor. I developed vestibulodynia, high-tone pelvic floor dysfunction, interstitial cystitis, and was finally diagnosed w/ a connective tissue disease called Sjogren's Syndrome. I'm on other meds for life for this disease, and I never had these issues before Balziva. Your hormones matter. Birth control is not a tic-tac. These medications are more extreme than most gynecologists care to acknowledge. Please consider avoiding this medication.",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
30,2021-03-06,ParaGard,,"Positive Experience!

I was so nervous. I got it a few days ago and I love it so far. I took 600 mg of ibuprofen an hour before. The insertion was quick. They gave me stuff that numbs your cervix. It felt like a really intense period cramp for 10 seconds (during the measurement and insertion). It was definitely tolerable! I had cramping and low back pain for about 48 hours after but now I’m feeling great! I am experiencing some light spotting.

I switched because I was struggling with hormonal birth control. I tried the Nexplanon and 2 pills. I was constantly bleeding on the Nexplanon. And with the Nexplanon and pill I had been experiencing EXTREME fatigue. Think like needing 12 hours of sleep to even possibly feel like you got enough sleep. I have been off of hormones for 10 days now (I got it put in on the last day of my period) and I am already starting to notice my fatigue improve! I also believe the hormones were making my acne worse but it is too soon to tell.",6.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
31,2021-03-05,Apri,desogestrel/ethinyl estradiol,"After years of suffering with PCOS symptoms- Apri has saved me! It has eliminated most of my acne. First month was harsh, but I knew with how out of whack my hormones were, I was going to have side effects adjusting, so I bared down and now I'm in the last week of my third pack! First month I had the worst morning sickness, I didn't know how I was going to handle it. Each month so far I've thrown up at least once in the first week.. I find the more often I eat, the less I feel the sickness. I've gained about 15lbs. My appetite has started calming down this month. I went from an A cup to C cup so far so I stopped wearing a bra. Some nights the pain is so bad I have to massage my breasts. I don't find I'm holding much water weight anywhere. I have experienced some headaches but I try to sleep them off. My periods are already lighter, but still adjusting overall. The best thing from all of this is my depression & mood swings have depleted. I'm meeting with my Dr to renew my prescription!l",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
32,2021-03-05,Ajovy,fremanezumab,"Ajovy changed my life from chronic migraine pain (nearly daily)  to gratefulness.   I've been taking the monthly injection for 20 months.  I still get cluster type headaches 4-8 times a month.  Eletriptan hydrobromide works to stop the pain.  Compared to daily pain, this is a life changing gift  after 11 years of life overlaid with migraine pain.  My neurologist also prescribes 20 mg daily of nortriptyline.  I have noticed only 2 minor side effects, elevated blood pressure and constipation.  I eat healthy as I cannot eat gluten, so legumes, vegetables, rice and yogurt are staples in my diet.  No matter how much fiber I intake, the constipation remains. I take a natural laxitive to help with that.  The other medication I must take is Synthroid for thyroid regulation.  No drug interactions seem to be cropping up after 20 months.",6.0,Taken for 1 to 2 years,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
33,2021-03-05,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"Not sure why there are so many negative reviews, I've had nothing but an easy time with this medication.

I've been on it for about 7 years now. Initially I was on another pill but I deal with depression on and off and my period cramps were awful, so my doctor switched me to Junel because it's lower estrogen. My periods last 2-4 days and are relatively light, hardly any cramps, no acne... I've never had an issue. There's speculation that maybe it causes weight gain, but I work out regularly so it's not enough to mention.",4.0,Taken for 5 to 10 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",8 / 10
34,2021-03-04,Apri,desogestrel/ethinyl estradiol,"I’ve been on birth control for 11 years. For 8 years I was on Loestein 24 Fe and I had no issues. I had to switch to Apri because I changed insurances. At first I did not notice a difference, but now I can confidently say I have the absolute worst period cramps and bloating I’ve ever had. I dread getting my period. I’m not saying this will happen to everyone but it’s been miserable for me.",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",2 / 10
35,2021-03-04,Ajovy,fremanezumab,"I have been giving myself shots for decades. From Imitrex to testosterone daily. This is the absolute worst auto injector I’ve ever seen. Put a button on it or something, the pressing down not knowing when it’s going to fire in your leg is a very poor design, and at $700 a stupid one.   Now twice I have fired the injector into my leg and my hand jerked back a little bit at the initial injection, and a large amount of the medication ended up on my leg.   Costly design flaw.",6.0,,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",7 / 10
36,2021-03-04,fluticasone/salmeterol,,The dispenser is very awkward to use. I also cannot tell if meds are coming out every time. Wish I had my Advair back.,6.0,Taken for less than 1 month,"Wixela Inhub (fluticasone / salmeterol) for Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",5 / 10
37,2021-03-04,Qvar RediHaler,beclomethasone,"Well in 2021 this is still an issue. 60 puffs left and it quit working. Glad this isn't an emergency inhaler. To make matters worse, I didn't notice it preventing any of my asthma attacks, they are just as frequent as ever.",2.0,Taken for 1 to 2 years,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
38,2021-03-03,Ajovy,fremanezumab,"I’ve taken Ajovy since it came out. I can even go 4+ months until needing three injections again. It’s been a miracle. I used to have migraines all the time. I hated the way triptans made me feel (I took maxalt), and I worried about routinely forcing blood vessels in my brain to shrink. It seemed like a potentially bad idea for the long term. I went to the ER about 4 times a year, and PMS caused excruciating migraines. On Ajovy I think I’ve had three small migraines in the past year. I have noticed no side effects from the medicine, and I’m usually highly sensitive and get every side effect. I’ve truly had no issues at all. I’m surprised at all the bad reviews. Migraines ruined many years of my life. Anyone thinking about trying it, go ahead and get one injection. If it’s a miracle for you too, then count yourself lucky.",6.0,,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
39,2021-03-03,Qvar RediHaler,beclomethasone,"All 3 QVars have stopped working just like everyone else says. The design is terrible. Please fix it. 

Medicine is ⭐️⭐️⭐️⭐️⭐️
Delivery method is negative stars",2.0,Taken for 2 to 5 years,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
40,2021-03-03,Tri-Lo-Sprintec,ethinyl estradiol/norgestimate,"it’s been almost two months since I was put on this birth control for my acne. The first month was amazing! No negative side effects at all, I actually lost weight instead of gaining. 
I’m on my second pack, once I started week three of this pack it seems like everything has gone downhill. I'm having the worst cramps I’ve ever had, painkillers and heating pads are barely helping. I start my actual period in two weeks, right now it’s breakthrough bleeding. It’s really heavy, it’s been almost a week and neither of these are getting better. 
When pains do go away, it’s not permanent. They come in waves and it’s just so painful. Maybe this is normal but my doctor never told me I'd cramp up like this. The only peace I get is when I wake up and for the first hour or so it’s just slight pains. 
I definitely believe the birth control is causing this pain. I’m glad to see I’m not the only one going through this, makes me feel a little relieved.",4.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",4 / 10
41,2021-03-03,Ajovy,fremanezumab,"I experience itching & swelling at the injection site for 24hrs. After, I have no migraines. I would rather itch for those hours than have the devastating migraines. I would have unexpected migraines all the time. The inconvenience of small itch out weighs months of relief.",6.0,Taken for 6 months to 1 year,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
42,2021-03-02,Ziac,bisoprolol/hydrochlorothiazide,I was taking Brand necessary Ziac and  it was discontinued. I was never able to tolerate the generic Ziac/bisoprolol due to the side effects. I was searching for a similar product and came across a notice that the Brand Ziac was now available. I was happy  and looking forward to feeling better.  I was very surprised to find that the brand Ziac and Bisoprolol had the same imprint b 40. After some research I was told it is the same pill.  It is not the Brand Ziac that I took in the past. Be careful if you’ve had a reaction to the generic in the past. The pill says Ziac but it is the generic.,6.0,,For High Blood Pressure:,"Teva Pharmaceuticals USA, Inc.",2 / 10
43,2021-03-02,Apri,desogestrel/ethinyl estradiol,I have been on the pill for about 3 months and I am having no negative side effects. I notice I still have mood swings closer to the end of my pack as if I'm PMSing. But I feel normal my anxiety is under control. My appetite picked up but I'm on the road to making some better diet changes. Don't listen to all the bad reviews because I've tried numerous birth control that has made me feel crazy or pain to worsen. This has been a breeze.,5.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
44,2021-03-01,Sprintec,ethinyl estradiol/norgestimate,I started sprintec Dec 2020 and it is March 1st tomorrow and all I can say is that my period went from being 2 weeks long and a mess to being only about 4 days long and light the past 2 months. My mood seems better. I was having horrible mood swings due to PCOS and in the last 2 months I've been calm and not stressed like before. I've maintained the same weight as when I started in Dec which is appx. 185 lbs. (No weight gain) I don't suffer from sore boobs or bloating. My face cleared up a little bit. My appetite is fine. So I personally have no complaints I guess.,6.0,Taken for 1 to 6 months,For Ovarian Cysts:,"Teva Pharmaceuticals USA, Inc.",10 / 10
45,2021-03-01,Take Action,levonorgestrel,"My bf I had sex and he finished in me the day after my period ended my fertile window was in approx. 4 days following, so I was a bit worried, but brushed it off.

 I took a take action 2 days later bc I was suddenly seeing babies and pregnant women literally everywhere I went (on tv, the grocery store, social media! Back to back baby!) so took it as a sign. 

When I tell you I have SYMPTOMS, I mean it. Sore boobs, mood swings, abdominal cramping, fatigue, fuzzy brain, nausea. It sucks. HOWEVER, I started my period again 9 days post unprotected sex/7 days post pill pop. This sucks, but I’m not pregnant. I will say, I took Plan B in 2019 and didn’t experience any of these symptoms so... get plan b. 

Also if you’re student, most clinics on campus offer Plan B brand for like $15.

(I rate this very effective, but do not recommend take action bc side effects)",6.0,Taken for less than 1 month,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",10 / 10
46,2021-03-01,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,I've been using this for a week now to regulate my period and so far so good. My breast have moved up a size and my period finally stoped (I guess my body was craving estrogen lol).,5.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
47,2021-03-01,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"So I am on my 2nd pack of pills.  The first time taking the pack my period was great, light, no heavy cramps and it went from 7 to 5 days. I am on the 2nd pack and I notice around ovulation time I have gotten a random period. Now every time I use the bathroom I see pinkish discharge now. I know my period suppose to come in a week.. I hope this pill doesn't have me bleeding every other week.",4.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",5 / 10
48,2021-03-01,Aviane,ethinyl estradiol/levonorgestrel,"At the beginning it was really bad. Awful mood-swings, very agitated at absolutely everything, bleeding for 21 days straight. After 4-5 months I did not see those mood swings anymore and had a regular cycle. Now on it for 2 years I noticed my cramps have been less painful. I went from fainting, vomiting and being unable to walk to being able to take one Advil and be in slight discomfort. Although it left me with depression I rather be constantly sad then to experience those awful cramps.

Pros: slightly better skin, regulated periods, bearable cramps, extra protection.

Cons (after a year): Depression, weight gain, spotting if a day was missed, more severe mood changes during periods, bit more tired throughout the day but can still sleep fine.",6.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",5 / 10
49,2021-03-01,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I've been on this birth control on and off for about 2+ years to help regulate my period. My period has been irregular from day one. I thought that I was the only woman experiencing severe mood swings, dark DARK thoughts, anxiety, anger, nightmares etc. but after reading a lot of the reviews I now feel validated in the way that I was feeling. I initially thought that the symptoms I listed above were coming from the stress and uncertainty of COVID and the huge shift in everyday life but after trial and error I've found that it's definitely the birth control. Being off of the birth control for a week or two has completely brought me back to myself and I haven't had any of the negative symptoms. I don't normally do reviews but wanted to share my experience and let you know that if you are experiencing these symptoms that you are NOT crazy it's the birth control, stop taking it and ask for an alternative.",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
50,2021-02-28,Ajovy,fremanezumab,"Love this medication. It has helped tremendously with my migraines, however after about a week of taking the injection my anxiety is through the roof and I get horrible nightmare's. 
 My blood pressure is all over the place as well ...I'm trying to push forward and stay on the medication ajovy praying the side effects settle down I'm on month 3 so we will see ...",6.0,Taken for 1 to 6 months,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
51,2021-02-28,fluticasone/salmeterol,,"I was on Breo for about 3 years and was breathing normally. I never had to use my albuterol inhaler. At the beginning of the year the price of Breo skyrocketed for me so I decided to try Wixela. It never worked. It started with a sore throat (I am very careful to rinse my mouth and spit out the water after each use.) After a few days the coughing started. I tolerated that only because it was a weekend and I couldn’t call my doctor. I am going back to Breo, I’m so angry that this drug was approved. My scenario was mild compared to what others are going through. Scary stuff.",6.0,Taken for less than 1 month,"Wixela Inhub (fluticasone / salmeterol) for Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
52,2021-02-28,levonorgestrel,levonorgestrel,Took this pill two weeks ago I took a pregnancy test yesterday and it was a big positive. 3 test that are positive it did not work for me!,7.0,Taken for less than 1 month,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",1 / 10
